Date,Month,Day,Day of the Week,Open,High,Low,Close,Adj Close,Volume,company_name,close_variation,close_variation%,days_since_last_increase,days_since_last_decrease,Will Increase,Predicted
2024-01-02,1,2,1,187.1499938964844,188.44000244140625,183.88999938964844,185.63999938964844,185.15228271484372,82488700,APPLE,-1.3863525390625,0.9925123659361108,0.0,0.0,False,False
2024-01-03,1,3,2,184.22000122070312,185.8800048828125,183.42999267578125,184.25,183.76593017578125,58414500,APPLE,-2.333831787109375,0.9872999756544808,1.0,0.0,False,False
2024-01-04,1,4,3,182.1499938964844,183.08999633789065,180.8800048828125,181.91000366210935,181.43209838867188,71983600,APPLE,-0.7281036376953125,0.9959869083576626,2.0,0.0,False,False
2024-01-05,1,5,4,181.9900054931641,182.75999450683597,180.1699981689453,181.17999267578125,180.70399475097656,62303300,APPLE,4.368499755859375,1.024174893100064,3.0,0.0,True,True
2024-01-08,1,8,0,182.08999633789065,185.6000061035156,181.5,185.55999755859372,185.07249450683597,59144500,APPLE,-0.4188995361328125,0.9977365651376288,0.0,1.0,False,False
2024-01-09,1,9,1,183.9199981689453,185.1499938964844,182.72999572753903,185.13999938964844,184.65359497070312,42841800,APPLE,1.0472564697265625,1.005671465372189,1.0,0.0,True,True
2024-01-10,1,10,2,184.3500061035156,186.3999938964844,183.9199981689453,186.19000244140625,185.7008514404297,46792900,APPLE,-0.5984344482421875,0.9967774275475836,0.0,1.0,False,False
2024-01-11,1,11,3,186.5399932861328,187.0500030517578,183.6199951171875,185.58999633789065,185.1024169921875,49128400,APPLE,0.329132080078125,1.0017781079546466,1.0,0.0,True,False
2024-01-12,1,12,4,186.05999755859372,186.7400054931641,185.19000244140625,185.9199981689453,185.4315490722656,40444700,APPLE,-2.2839813232421875,0.9876828871102614,0.0,1.0,False,False
2024-01-16,1,16,1,182.16000366210935,184.25999450683597,180.92999267578125,183.6300048828125,183.14756774902344,65603000,APPLE,-0.947509765625,0.9948265228019658,1.0,0.0,False,False
2024-01-17,1,17,2,181.2700042724609,182.92999267578125,180.3000030517578,182.67999267578125,182.20005798339844,47317400,APPLE,5.934371948242188,1.0325706369905925,2.0,0.0,True,True
2024-01-18,1,18,3,186.08999633789065,189.13999938964844,185.8300018310547,188.6300048828125,188.13442993164065,78005800,APPLE,2.92230224609375,1.0155330539293397,0.0,1.0,True,True
2024-01-19,1,19,4,189.3300018310547,191.9499969482422,188.82000732421875,191.55999755859372,191.0567321777344,68741000,APPLE,2.3238677978515625,1.012163234298856,0.0,2.0,True,True
2024-01-22,1,22,0,192.3000030517578,195.3300018310547,192.25999450683597,193.88999938964844,193.38059997558597,60133900,APPLE,1.28662109375,1.00665331007305,0.0,3.0,True,True
2024-01-23,1,23,1,195.0200042724609,195.75,193.8300018310547,195.17999267578125,194.66722106933597,42355600,APPLE,-0.67822265625,0.996515989427884,0.0,4.0,False,False
2024-01-24,1,24,2,195.4199981689453,196.3800048828125,194.33999633789065,194.5,193.98899841308597,53631300,APPLE,-0.3291168212890625,0.9983034253283364,1.0,0.0,False,False
2024-01-25,1,25,3,195.22000122070312,196.2700042724609,193.1100006103516,194.1699981689453,193.65988159179688,54822100,APPLE,-1.7454071044921875,0.9909872551292208,2.0,0.0,False,False
2024-01-26,1,26,4,194.2700042724609,194.75999450683597,191.94000244140625,192.4199981689453,191.9144744873047,44594000,APPLE,-0.688201904296875,0.9964140177225538,3.0,0.0,False,False
2024-01-29,1,29,0,192.00999450683597,192.1999969482422,189.5800018310547,191.72999572753903,191.2262725830078,47145600,APPLE,-3.6802978515625,0.980754224815186,4.0,0.0,False,False
2024-01-30,1,30,1,190.94000244140625,191.8000030517578,187.47000122070312,188.0399932861328,187.5459747314453,55859400,APPLE,-3.63043212890625,0.9806424417580552,5.0,0.0,False,False
2024-01-31,1,31,2,187.0399932861328,187.1000061035156,184.3500061035156,184.3999938964844,183.91554260253903,55467800,APPLE,2.45355224609375,1.0133406465346768,6.0,0.0,True,True
2024-02-01,2,1,3,183.9900054931641,186.9499969482422,183.82000732421875,186.8600006103516,186.3690948486328,64885400,APPLE,-1.007354736328125,0.9945948402166878,0.0,1.0,False,False
2024-02-02,2,2,4,179.86000061035156,187.3300018310547,179.25,185.8500061035156,185.3617401123047,102518000,APPLE,1.8251800537109373,1.0098465845897062,1.0,0.0,True,True
2024-02-05,2,5,0,188.1499938964844,189.25,185.83999633789065,187.67999267578125,187.1869201660156,69668800,APPLE,1.615753173828125,1.0086317632257378,0.0,1.0,True,True
2024-02-06,2,6,1,186.8600006103516,189.30999755859372,186.7700042724609,189.3000030517578,188.80267333984372,43490800,APPLE,0.109710693359375,1.0005810865461735,0.0,2.0,True,False
